prime_mover,botfirty,primary_fuel_type,so2_ef,so2_flag,so2_ef_num,so2_ef_denom,unit_flag,so2_source,so2_ef_based_on,nox_ef,nox_ef_num,nox_ef_denom,nox_unit_flag,nox_source,nox_ef_based_on
ST,null,WDS,0.025,,lb,MMBtu,HeatInput,AP-42,,2,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,CELL,WDS,0.025,,lb,MMBtu,HeatInput,,WDS,1.5,lb,ton,PhysicalUnits,,WDS
ST,OTHER BOILER,WDS,0.025,,lb,MMBtu,HeatInput,AP-42,,2,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,DRY FLUIDIZED,WDS,0.025,,lb,MMBtu,HeatInput,AP-42,,2,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,DRY STOKER,WDS,0.025,,lb,MMBtu,HeatInput,AP-42,,1.5,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,DRY TANGENTIAL,WDS,0.025,,lb,MMBtu,HeatInput,AP-42,,2.51,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,DRY WALL,WDS,0.025,,lb,MMBtu,HeatInput,AP-42,,2.51,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,WET TANGENTIAL,WDS,0.025,,lb,MMBtu,HeatInput,AP-42,,2.51,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,FLUIDIZED,WDS,0.025,,lb,MMBtu,HeatInput,AP-42,,2,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,OTHER,WDS,0.025,,lb,MMBtu,HeatInput,AP-42,,2,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,VERTICAL/ARCH,WDS,0.025,,lb,MMBtu,HeatInput,,WDS,1.5,lb,ton,PhysicalUnits,,WDS
ST,STOKER,WDS,0.025,,lb,MMBtu,HeatInput,AP-42,,1.5,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,WET STOKER,WDS,0.025,,lb,MMBtu,HeatInput,AP-42,,1.5,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,TANGENTIAL,WDS,0.025,,lb,MMBtu,HeatInput,AP-42,,2.51,lb,ton,PhysicalUnits,EIA Electricity Annual,
OT,null,WDS,0.025,,lb,MMBtu,HeatInput,AP-42,,2,lb,ton,PhysicalUnits,EIA Electricity Annual,
OT,OTHER,WDS,0.025,,lb,MMBtu,HeatInput,AP-42,,2,lb,ton,PhysicalUnits,EIA Electricity Annual,
ST,WALL,WDS,0.025,,lb,MMBtu,HeatInput,AP-42,,2.51,lb,ton,PhysicalUnits,EIA Electricity Annual,
CA,null,WO,1.01,S,lb,MMBtu,HeatInput,AP-42,DFO,3.8724,lb,barrels,PhysicalUnits,EIA Electricity Annual,
CS,null,WO,1.01,S,lb,MMBtu,HeatInput,AP-42,DFO,3.8724,lb,barrels,PhysicalUnits,EIA Electricity Annual,
GT,null,WO,1.01,S,lb,MMBtu,HeatInput,AP-42,DFO,3.8724,lb,barrels,PhysicalUnits,EIA Electricity Annual,
CT,null,WO,1.01,S,lb,MMBtu,HeatInput,AP-42,DFO,3.8724,lb,barrels,PhysicalUnits,EIA Electricity Annual,
IC,null,WO,0.29,,lb,MMBtu,HeatInput,AP-42,DFO,14.0784,lb,barrels,PhysicalUnits,EIA Electricity Annual,
IC,null,OTH,0.000578035,,lb,MMBtu,HeatInput,AP-42,,2.666666667,lb,MMBtu,HeatInput,EIA Electricity Annual,using  conversion factor of 1 Mcf =1.038 MMBtu
IC,null,PG,0.000578035,,lb,MMBtu,HeatInput,EIA Electricity Annual,,0.773949904,lb,MMBtu,HeatInput,EIA Electricity Annual,using  conversion factor of 1 Mcf =1.038 MMBtu
